state,year,quarter,suppression_used,total_prescriptions
vt,2017,1,FALSE,18
vt,2017,1,TRUE,0
vt,2017,2,TRUE,0
vt,2017,3,FALSE,12
vt,2017,3,TRUE,0
vt,2017,4,TRUE,0
vt,2018,1,TRUE,0
vt,2018,2,TRUE,0
vt,2018,3,TRUE,0
vt,2018,4,TRUE,0
vt,2019,1,FALSE,13
vt,2019,1,TRUE,0
vt,2019,2,TRUE,0
vt,2019,3,TRUE,0
vt,2019,4,TRUE,0
vt,2020,1,NA,0
wa,2017,1,FALSE,273
wa,2017,1,TRUE,0
wa,2017,2,FALSE,276
wa,2017,2,TRUE,0
wa,2017,3,FALSE,364
wa,2017,3,TRUE,0
wa,2017,4,FALSE,274
wa,2017,4,TRUE,0
wa,2018,1,FALSE,270
wa,2018,1,TRUE,0
wa,2018,2,FALSE,265
wa,2018,2,TRUE,0
wa,2018,3,FALSE,236
wa,2018,3,TRUE,0
wa,2018,4,FALSE,240
wa,2018,4,TRUE,0
wa,2019,1,FALSE,192
wa,2019,1,TRUE,0
wa,2019,2,FALSE,190
wa,2019,2,TRUE,0
wa,2019,3,FALSE,165
wa,2019,3,TRUE,0
wa,2019,4,FALSE,125
wa,2019,4,TRUE,0
wa,2020,1,NA,122
wi,2017,1,FALSE,430
wi,2017,1,TRUE,0
wi,2017,2,FALSE,409
wi,2017,2,TRUE,0
wi,2017,3,FALSE,402
wi,2017,3,TRUE,0
wi,2017,4,FALSE,362
